,measurement,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
1,tBodyAcc-mean()-X,0.265696921,0.273113116,0.27342872,0.274183111,0.27917796,0.272376614,0.270211698,0.270759063,0.270313842,0.276848474,0.276585311,0.273608724,0.275895876,0.270184596,0.278213407,0.27788744,0.274029548,0.276324152,0.269723487,0.268425758,0.277466526,0.27476769,0.273493255,0.276767046,0.275301468,0.273036581,0.277264567,0.277532555,0.279111522,0.276305837,0.276336875,0.262294649,0.288137228,0.273059614,0.279153494,0.268648643
2,tBodyAcc-mean()-Y,-0.018298173,-0.019132318,-0.017856067,-0.014808155,-0.015483346,-0.017569704,-0.018790489,-0.018189497,-0.020946656,-0.017835791,-0.019127253,-0.018337204,-0.01765048,-0.016254818,-0.016464485,-0.015856789,-0.017541605,-0.017283155,-0.018203152,-0.017591299,-0.017666458,-0.01682736,-0.019589259,-0.017682246,-0.019322177,-0.016168728,-0.016796922,-0.019172144,-0.018471953,-0.017585608,-0.017906833,-0.025923289,-0.016311925,-0.012689573,-0.016151886,-0.018317728
3,tBodyAcc-mean()-Z,-0.107845735,-0.115649958,-0.106492632,-0.107521431,-0.105661737,-0.115994541,-0.112492375,-0.106809624,-0.101233826,-0.111301532,-0.108941762,-0.106649117,-0.109135286,-0.100985936,-0.112563588,-0.107263924,-0.109199853,-0.108112251,-0.11827718,-0.108029146,-0.108778481,-0.108670377,-0.109093982,-0.107914504,-0.109629031,-0.107637895,-0.1108483,-0.109710873,-0.108675612,-0.105893557,-0.108881688,-0.120537935,-0.105761625,-0.105517003,-0.106586909,-0.107435632
4,tGravityAcc-mean()-X,0.744867412,0.660782867,0.707814353,0.706593043,0.698153719,0.688702064,0.681289121,0.647498175,0.670845546,0.64290573,0.730526185,0.699222451,0.709996517,0.672081225,0.688872512,0.70090613,0.698937411,0.716863248,0.475323016,0.628040637,0.645775958,0.609390875,0.662324738,0.694981268,0.672386622,0.615123535,0.62723008,0.623767895,0.683067626,0.696858201,0.934991578,0.875003376,0.926457405,0.879731193,0.941479635,-0.375021334
5,tGravityAcc-mean()-Y,-0.082556258,-0.147219887,-0.026059048,0.112591195,0.11231311,0.016205546,-0.042022145,0.030321111,-0.0467447,-0.074024854,0.052738703,0.029976776,-0.04208581,-0.111701389,0.102660492,-0.060523599,-0.013734698,-0.015781996,0.096405263,-0.037305948,-0.075096307,0.031509868,0.01462092,0.07295097,0.047160143,0.108704783,0.032242387,-0.147577755,0.115489758,0.051269819,-0.196713497,-0.281377194,-0.168507222,0.10871354,-0.184246514,0.622270363
6,tGravityAcc-mean()-Z,0.07233987,0.134865335,0.04809379,0.164130897,0.09216072,0.047519999,0.034216071,0.083654241,0.104353653,0.055204723,0.140209861,0.033029554,0.044301054,-0.161179728,0.03728977,0.040207554,-0.017704243,0.089990175,0.233011401,0.107230759,0.032185177,0.235887864,0.051866247,0.062322771,0.239226041,0.23410701,0.141168696,-0.046993102,0.20821537,0.184343178,-0.053825125,-0.140795666,-0.0479709,0.153774089,-0.014051961,0.555612474
7,tBodyAccJerk-mean()-X,0.07709305,0.078535316,0.070173126,0.078863785,0.08410199,0.08138336,0.083182957,0.084215745,0.084017143,0.079810861,0.083013454,0.070430311,0.079439303,0.074175747,0.077689741,0.077548889,0.081406057,0.077480922,0.077417115,0.079818125,0.082220787,0.079103113,0.077858822,0.0784735,0.081765744,0.080874326,0.07683204,0.080726306,0.078838232,0.073479927,0.076718738,0.076729322,0.089226692,0.075878849,0.075027917,0.08184739
8,tBodyAccJerk-mean()-Y,0.016590844,0.007087712,0.014466433,0.003513409,0.001765683,0.000479281,0.007609098,0.000860302,0.006784858,0.012914326,0.007804425,0.005311538,0.00387962,0.004436827,0.004893921,0.008840183,0.008489497,0.012885045,0.011581242,0.002209287,0.003501076,0.015257247,0.020047096,0.003969003,0.006386339,0.0076771,0.00617715,0.013822444,0.009001612,0.007304383,0.011506192,0.00875889,0.000746749,0.005046905,0.008805259,0.011172357
9,tBodyAccJerk-mean()-Z,-0.009107587,0.000755761,-0.000526819,-0.007373751,-0.002953711,-0.002258963,-0.007917257,-0.019671991,-0.001029981,-0.011355697,-0.00657425,0.000308112,-0.012348592,-0.002530447,-0.004409932,-0.0014373,0.00270288,0.000848545,-0.001861989,-0.004506119,-0.010659073,-0.007228733,-0.000717681,-0.007009606,-0.010346171,-0.007248919,-0.004950006,0.000824208,-0.003552905,-0.000653872,-0.002319386,-0.006009534,-0.008728604,-0.002486661,-0.004582061,-0.004859769
10,tBodyGyro-mean()-X,-0.020876406,-0.051703066,-0.024849068,-0.028941791,-0.029451687,-0.043361179,-0.051871693,0.003590539,-0.070131815,-0.01850237,-0.054732844,-0.062866347,-0.056247062,0.000253671,-0.028127878,-0.012234145,-0.014668618,-0.03739938,-0.038572395,-0.024248881,-0.027634664,-0.008006306,-0.022089042,-0.02125781,-0.002981512,-0.020659932,-0.06088876,-0.064496355,-0.010183191,-0.035422928,-0.034727577,0.006824496,-0.084034543,-0.038431317,-0.026687141,-0.01672534
